"community","pagerank","pr score","degree centrality","dc score","eigen","eigen score"
"3320","207217.0","0.23999807739060794","9902039.0","0.5","9902039.0","0.5764509452353925"
"3321","201013.0","0.37735791292765264","201013.0","0.8","201013.0","0.6767662621499841"
"3322","9505093.0","0.07101923806398062","9510185.0","0.15625","9510185.0","0.4273408611559803"
"3323","9510185.0","0.17886594226166147","9510185.0","0.38461538461538464","9510185.0","0.5578994711465968"
"3324","104148.0","0.5","104148.0","1.0","k > components","not defined"
"3325","110007.0","0.010682334394992703","110007.0","0.025974025974025976","110007.0","0.4529481117514894"
"3326","205218.0","0.010386935918904362","205218.0","0.025089605734767026","205218.0","0.5877838068894248"
"3327","9404144.0","0.48648582432442095","9404144.0","1.0","9404144.0","0.7071067811865476"
"3328","9310010.0","0.5","9310010.0","1.0","k > components","not defined"
"3329","112062.0","0.19939773459751794","109145.0","0.4","211155.0","0.5211208891696025"
"3330","9211085.0","0.5","9211085.0","1.0","k > components","not defined"
"3331","301217.0","0.08095973153110676","301217.0","0.18181818181818182","301217.0","0.5394417899857132"
"3332","9212022.0","0.48648582432442095","9212022.0","1.0","9212022.0","0.7071067811865475"
"3333","9310038.0","0.48648582432442095","9310038.0","1.0","9310038.0","0.7071067811865475"
"3334","109172.0","0.5","109172.0","1.0","k > components","not defined"
"3335","109178.0","0.5","109178.0","1.0","k > components","not defined"
"3336","204114.0","0.2820934425035648","204114.0","0.6000000000000001","204114.0","0.627963030199554"
"3337","9807158.0","0.22756534366957346","9807158.0","0.5","9807158.0","0.6597601655918645"
"3338","9208079.0","0.31072886006357575","9208079.0","0.6666666666666666","9208079.0","0.6571922996941231"
"3339","9209015.0","0.2820934425035648","9209015.0","0.6000000000000001","9209015.0","0.6279630301995544"
"3340","9509022.0","0.4797305739863631","9509022.0","1.0","9509022.0","0.7071067811865474"
"3341","9509022.0","0.4797305739863631","9509022.0","1.0","9509022.0","0.7071067811865476"
"3342","109218.0","0.5","109218.0","1.0","k > components","not defined"
"3343","9908142.0","0.0019921593412658384","9908142.0","0.004442051420110378","9908142.0","0.6996567549078943"
"3344","206173.0","0.31426243845038354","206173.0","0.6666666666666666","206173.0","0.6532814824381881"
"3345","9808110.0","0.357556987250496","9808110.0","0.75","9808110.0","0.6532814824381884"
"3346","110023.0","0.5","110023.0","1.0","k > components","not defined"
"3347","9504009.0","0.5","9504009.0","1.0","k > components","not defined"
"3348","109120.0","0.5","109120.0","1.0","k > components","not defined"
"3349","9906050.0","0.5","9906050.0","1.0","k > components","not defined"
"3350","9502016.0","0.48648582432442095","9502016.0","1.0","9502016.0","0.7071067811865475"
"3351","9707030.0","0.5","9707030.0","1.0","k > components","not defined"
"3352","9905111.0","0.0011379696046398273","9905111.0","0.0027343416218063746","9711200.0","0.5333242851587446"
"3353","9510068.0","0.5","9510068.0","1.0","k > components","not defined"
"3354","110069.0","0.12629178067960117","110069.0","0.2857142857142857","110069.0","0.5541463040471368"
"3355","110075.0","0.5","110075.0","1.0","k > components","not defined"
"3356","111257.0","0.5","111257.0","1.0","k > components","not defined"
"3357","110082.0","0.48648582432442095","110082.0","1.0","110082.0","0.7071067811865474"
"3358","205178.0","0.48648582432442095","205178.0","1.0","205178.0","0.7071067811865476"
"3359","203260.0","0.12946743796740137","110114.0","0.2777777777777778","110114.0","0.5119120990457523"
"3360","9611126.0","0.5","9611126.0","1.0","k > components","not defined"
"3361","209122.0","0.004784795096871234","11137.0","0.0113314447592068","11137.0","0.4456270640016951"
"3362","9902114.0","0.5","9902114.0","1.0","k > components","not defined"
"3363","301217.0","0.08878063656545095","301217.0","0.2","301217.0","0.5400650354740449"
"3364","204037.0","0.5","204037.0","1.0","k > components","not defined"
"3365","302105.0","0.09043787501872619","210088.0","0.1764705882352941","210088.0","0.4308818076059306"
"3366","302105.0","0.13080908978034453","302105.0","0.2857142857142857","302105.0","0.5232032880059373"
"3367","110127.0","0.5","110127.0","1.0","k > components","not defined"
"3368","109162.0","0.005399338544373012","109162.0","0.012369791666666666","109162.0","0.686475189955004"
"3369","9305080.0","0.10917268307835241","9305080.0","0.23333333333333334","9305080.0","0.5330809657502795"
"3370","109135.0","0.32456160227748454","109135.0","0.6666666666666666","109135.0","0.6015009550075457"
"3371","109033.0","0.32456160227748454","109033.0","0.6666666666666666","205271.0","0.6015009550075461"
"3372","9902127.0","0.5","9902127.0","1.0","k > components","not defined"
"3373","110173.0","0.20229367599365564","110173.0","0.4444444444444444","110173.0","0.6077970297776187"
"3374","9503160.0","0.5","9503160.0","1.0","k > components","not defined"
"3375","9209033.0","0.5","9209033.0","1.0","k > components","not defined"
"3376","9310132.0","0.5","9310132.0","1.0","k > components","not defined"
"3377","211028.0","0.12006751263575835","211028.0","0.2631578947368421","211028.0","0.5409909276435454"
"3378","9604175.0","0.24594541923542018","9604175.0","0.5","9610222.0","0.5773502691896258"
"3379","12127.0","0.5","12127.0","1.0","k > components","not defined"
"3380","9908142.0","0.0013532002743252998","9905111.0","0.0030038486811226886","9906064.0","0.5192282200768049"
"3381","104096.0","0.5","104096.0","1.0","k > components","not defined"
"3382","105316.0","0.09312996256569138","105316.0","0.21052631578947367","105316.0","0.5399804408336779"
"3383","110251.0","0.5","110251.0","1.0","k > components","not defined"
"3384","9905111.0","0.0012726829301296797","9905111.0","0.0030307994757536043","9905111.0","0.6987609114993598"
"3385","9911078.0","0.5","9911078.0","1.0","k > components","not defined"
"3386","9402126.0","0.5","9402126.0","1.0","k > components","not defined"
"3387","205179.0","0.014262911907939529","209122.0","0.03070175438596491","205179.0","0.4759633989708332"
"3388","109162.0","0.0054741314943606454","109162.0","0.012541254125412541","109162.0","0.686474501976512"
"3389","110297.0","0.5","110297.0","1.0","k > components","not defined"
"3390","109162.0","0.0019000523448404868","109162.0","0.0045792787635947334","109162.0","0.6786805800303195"
"3391","109162.0","0.0019004148810635054","109162.0","0.004580152671755725","109162.0","0.6786861383367544"
"3392","111001.0","0.16963008478021893","111001.0","0.38888888888888884","111001.0","0.6599624544399391"
"3393","108019.0","0.48648582432442095","108019.0","1.0","108019.0","0.7071067811865478"
"3394","212135.0","0.04539850401638667","208165.0","0.09090909090909091","209004.0","0.44445079030777074"
"3395","111028.0","0.5","111028.0","1.0","k > components","not defined"
"3396","9706200.0","0.5","9706200.0","1.0","k > components","not defined"
"3397","203124.0","0.007850278165492022","203124.0","0.01904761904761905","203124.0","0.5329327586020192"
"3398","205179.0","0.0149142670175594","209122.0","0.03211009174311927","205179.0","0.4914995928355823"
"3399","209231.0","0.012988982836957928","205101.0","0.028688524590163935","205101.0","0.45991264157016126"
"3400","111116.0","0.5","111116.0","1.0","k > components","not defined"
"3401","211170.0","0.030574795901367777","211170.0","0.07317073170731708","211170.0","0.5466715553694812"
"3402","208052.0","0.48648582432442095","208052.0","1.0","208052.0","0.7071067811865475"
"3403","3107.0","0.5","3107.0","1.0","k > components","not defined"
"3404","111157.0","0.32456160227748454","111157.0","0.6666666666666666","111157.0","0.6015009550075459"
"3405","9905111.0","0.0014892433876220103","9905111.0","0.0035622843148168763","9906064.0","0.548227336196837"
"3406","111167.0","0.48648582432442095","111167.0","1.0","111167.0","0.7071067811865477"
"3407","205179.0","0.008550173271401548","205179.0","0.01907356948228883","205179.0","0.4817251708947533"
"3408","204089.0","0.043718628926753295","204089.0","0.10256410256410257","204089.0","0.6389555252536238"
"3409","9709111.0","0.5","9709111.0","1.0","k > components","not defined"
"3410","9605084.0","0.24594541923542018","9605084.0","0.5","112170.0","0.5773502691896261"
"3411","9506163.0","0.5","9506163.0","1.0","k > components","not defined"
"3412","9802166.0","0.5","9802166.0","1.0","k > components","not defined"
"3413","204114.0","0.2820934425035648","204114.0","0.6000000000000001","204114.0","0.6279630301995544"
"3414","111224.0","0.2820934425035648","111224.0","0.6000000000000001","111224.0","0.6279630301995541"
"3415","209234.0","0.4797305739863631","209234.0","1.0","209234.0","0.7071067811865477"
"3416","111244.0","0.5","111244.0","1.0","k > components","not defined"
"3417","9910190.0","0.04958058927573726","9910190.0","0.1111111111111111","9910190.0","0.4550253806001922"
"3418","9901040.0","0.5","9901040.0","1.0","k > components","not defined"
"3419","9901047.0","0.24594541923542018","9901047.0","0.5","9902167.0","0.5773502691896257"
"3420","9602025.0","0.4797305739863631","9602025.0","1.0","9602025.0","0.7071067811865476"
"3421","9607039.0","0.5","9607039.0","1.0","k > components","not defined"
"3422","9905072.0","0.5","9905072.0","1.0","k > components","not defined"
"3423","111264.0","0.5","111264.0","1.0","k > components","not defined"
"3424","207149.0","0.357556987250496","207149.0","0.75","207149.0","0.6532814824381881"
"3425","112033.0","0.5","112033.0","1.0","k > components","not defined"
"3426","112038.0","0.48648582432442095","112038.0","1.0","112038.0","0.7071067811865476"
"3427","112089.0","0.48648582432442095","112089.0","1.0","112089.0","0.7071067811865476"
"3428","209231.0","0.06222763976624834","209231.0","0.14","209231.0","0.5670757562399378"
"3429","9703023.0","0.2409782672568083","9703023.0","0.5","9703023.0","0.5576775358252055"
"3430","9703023.0","0.4797305739863631","9703023.0","1.0","9703023.0","0.7071067811865477"
"3431","9611005.0","0.5","9611005.0","1.0","k > components","not defined"
"3432","9611006.0","0.5","9611006.0","1.0","k > components","not defined"
"3433","112102.0","0.5","112102.0","1.0","k > components","not defined"
"3434","9710159.0","0.32456160227748454","9710159.0","0.6666666666666666","9906083.0","0.6015009550075457"
